ticker,nome,tipo,bench,settore,sost
WEBG.DE,Amundi Prime All Country World UCITS ETF Dist,etf,^GSPC,ETF,False
D5BG.DE,Xtrackers II EUR Corporate Bond UCITS ETF 1C,etf,^STOXX50E,ETF,False
EMXC.DE,Amundi MSCI Emerging Ex China UCITS ETF Acc,etf,^GSPC,ETF,False
QDV5.DE,iShares MSCI India UCITS ETF USD (Acc),etf,^GSPC,ETF,False
XSXD.DE,Xtrackers S&P 500 Swap UCITS ETF 1D,etf,^GSPC,ETF,False
SXR4.DE,iShares MSCI USA UCITS ETF (Acc),etf,^GSPC,ETF,False
LYSX.DE,Amundi EURO STOXX 50 II UCITS ETF ,etf,^STOXX50E,ETF,False
IUSP.DE,iShares J.P. Morgan EM Local Government Bond UCITS ETF,etf,^GSPC,ETF,False
SXRM.DE,iShares USD Treasury Bond 7-10yr UCITS ETF (Acc),etf,^GSPC,ETF,False
EUDF.DE,WisdomTree Europe Defence UCITS ETF EUR Unhedged Acc,etf,^STOXX50E,ETF,False
6TVM.DE,Amundi Core S&P 500 Swap UCITS ETF USD Dist,etf,^GSPC,ETF,False
JPNA.L,UBS Core MSCI Japan UCITS ETF JPY acc,etf,^GSPC,ETF,False
O4J0.DE,iShares S&P 500 Equal Weight UCITS ETF USD (Acc),etf,^GSPC,ETF,False
D5BM.DE,Xtrackers S&P 500 Swap UCITS ETF 1C,etf,^GSPC,ETF,False
XSX6.DE,Xtrackers STOXX Europe 600 UCITS ETF 1C,etf,^STOXX50E,ETF,False
IQQJ.DE,iShares MSCI Japan UCITS ETF (Dist),etf,^GSPC,ETF,False
AMEM.DE,Amundi MSCI Emerging Markets Swap UCITS ETF EUR Acc,etf,^STOXX50E,ETF,False
CEU2.DE,Amundi Core MSCI Europe UCITS ETF Acc,etf,^STOXX50E,ETF,False
VGVE.DE,Vanguard FTSE Developed World UCITS ETF Distributing,etf,^GSPC,ETF,False
4BRZ.DE,iShares MSCI Brazil UCITS ETF (DE) USD (Acc),etf,^GSPC,ETF,False
V50A.DE,Amundi Core EURO STOXX 50 UCITS ETF EUR Acc,etf,^STOXX50E,ETF,False
VGEA.DE,Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,etf,^STOXX50E,ETF,False
ACWIA.MI,UBS MSCI ACWI SF UCITS ETF USD acc,etf,^GSPC,ETF,False
AW1V.DE,UBS Core MSCI EMU UCITS ETF EUR acc,etf,^STOXX50E,ETF,False
EQQB.DE,Invesco EQQQ Nasdaq-100 UCITS ETF Acc,etf,^GSPC,ETF,False
FLXK.DE,Franklin FTSE Korea UCITS ETF ,etf,^GSPC,ETF,False
XDEV.DE,Xtrackers MSCI World Value UCITS ETF 1C,etf,^GSPC,ETF,False
X500.DE,Xtrackers S&P 500 Swap II UCITS ETF 1C,etf,^GSPC,ETF,False
WEBH.DE,Amundi Core MSCI USA UCITS ETF Acc,etf,^GSPC,ETF,False
IUS7.DE,iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),etf,^GSPC,ETF,False
SXRW.DE,iShares Core FTSE 100 UCITS ETF GBP (Acc),etf,^FTSE,ETF,False
FWIA.DE,Invesco FTSE All-World UCITS ETF ,etf,^GSPC,ETF,False
H410.DE,HSBC MSCI Emerging Markets UCITS ETF USD,etf,^GSPC,ETF,False
EUNT.DE,iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Dist),etf,^STOXX50E,ETF,False
EXV1.DE,iShares STOXX Europe 600 Banks UCITS ETF (DE),etf,^STOXX50E,ETF,False
ESEE.DE,BNP Paribas Easy S&P 500 UCITS ETF EUR,etf,^STOXX50E,ETF,False
QDVI.DE,iShares Edge MSCI USA Value Factor UCITS ETF,etf,^GSPC,ETF,False
IS3M.DE,iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),etf,^STOXX50E,ETF,False
CMOD.L,Invesco Bloomberg Commodity UCITS ETF Acc,etf,^GSPC,ETF,False
VERX.DE,Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Distributing,etf,^STOXX50E,ETF,False
ESAP.DE,BNP Paribas Easy S&P 500 UCITS ETF USD (Acc),etf,^GSPC,ETF,False
XDWH.DE,Xtrackers MSCI World Health Care UCITS ETF 1C,etf,^GSPC,ETF,False
SXR1.DE,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),etf,^GSPC,ETF,False
SPYD.DE,State Street SPDR S&P U.S. Dividend Aristocrats UCITS ETF USD Unhedged (Dist),etf,^GSPC,ETF,False
VECP.DE,Vanguard EUR Corporate Bond UCITS ETF (EUR) Distributing,etf,^STOXX50E,ETF,False
IBCD.DE,iShares USD Corporate Bond UCITS ETF (Dist),etf,^GSPC,ETF,False
DBXP.DE,Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,etf,^STOXX50E,ETF,False
L8I3.DE,Amundi EUR Overnight Return UCITS ETF ,etf,^STOXX50E,ETF,False
LYPS.DE,Amundi Core S&P 500 Swap UCITS ETF EUR Dist,etf,^STOXX50E,ETF,False
