evento,asse,tit,ben,lo,hi
AMZN|2026-06-30,-61.0,87.68635290222943,88.3728449683131,,
AMZN|2026-06-30,-60.0,87.35321262830959,88.47189995590628,,
AMZN|2026-06-30,-59.0,88.61080779002675,88.86354581549115,,
AMZN|2026-06-30,-58.0,89.01890764378665,88.93101529524772,,
AMZN|2026-06-30,-57.0,92.13375554357452,91.16153096459308,,
AMZN|2026-06-30,-56.0,97.29740754990448,91.723999755611,,
AMZN|2026-06-30,-55.0,99.2670964806741,91.61957004727851,,
AMZN|2026-06-30,-54.0,99.89589406153269,92.55164112405558,,
AMZN|2026-06-30,-53.0,103.69784496767818,93.64216474326258,,
AMZN|2026-06-30,-52.0,103.48130283651192,94.3890343621844,,
AMZN|2026-06-30,-51.0,103.9810100703306,94.63538557321264,,
AMZN|2026-06-30,-50.0,104.33913475282306,95.774839495023,,
AMZN|2026-06-30,-49.0,103.3896891023309,95.54743433866425,,
AMZN|2026-06-30,-48.0,104.0684618544569,94.94087839999486,,
AMZN|2026-06-30,-47.0,106.33797004221996,95.9339679791332,,
AMZN|2026-06-30,-46.0,106.22137189946636,95.53748552713704,,
AMZN|2026-06-30,-45.0,109.93170271730858,96.29927180080904,,
AMZN|2026-06-30,-44.0,108.73656857702292,96.417948784752,,
AMZN|2026-06-30,-43.0,108.14525396314544,95.94606274143176,,
AMZN|2026-06-30,-42.0,109.53610777607948,95.90776375457646,,
AMZN|2026-06-30,-41.0,110.37727918392736,96.8896904521794,,
AMZN|2026-06-30,-40.0,111.7098402796068,97.17341533184045,,
AMZN|2026-06-30,-39.0,113.28807715683531,96.77867851563995,,
AMZN|2026-06-30,-38.0,113.9127127876392,97.56452306309733,,
AMZN|2026-06-30,-37.0,114.51236400987052,98.98782655283983,,
AMZN|2026-06-30,-36.0,112.92163492835569,98.61136641216916,,
AMZN|2026-06-30,-35.0,113.55042615509204,99.44223655058168,,
AMZN|2026-06-30,-34.0,112.0138214866549,99.6291836442326,,
AMZN|2026-06-30,-33.0,110.69376530350624,99.4695170317944,,
AMZN|2026-06-30,-32.0,112.48855066602322,100.05133875499811,,
AMZN|2026-06-30,-31.0,111.27675601727432,100.81729224194171,,
AMZN|2026-06-30,-30.0,109.99417644698455,99.57085578351123,,
AMZN|2026-06-30,-29.0,110.29398934985576,99.4976047054991,,
AMZN|2026-06-30,-28.0,107.9953348034654,98.83312778362463,,
AMZN|2026-06-30,-27.0,110.3564630795317,99.89973750493914,,
AMZN|2026-06-30,-26.0,111.793117405434,100.07109856470018,,
AMZN|2026-06-30,-25.0,110.90197718044084,100.44406087123896,,
AMZN|2026-06-30,-24.0,110.47306122228532,101.057599353091,,
AMZN|2026-06-30,-23.0,113.20480003100812,101.07426164363685,,
AMZN|2026-06-30,-22.0,114.10010856017814,101.6558143026766,,
AMZN|2026-06-30,-21.0,112.70093084713476,101.87663723082838,,
AMZN|2026-06-30,-20.0,108.79487400252196,102.14409357237868,,
AMZN|2026-06-30,-19.0,106.82101676757544,102.27607282608788,,
AMZN|2026-06-30,-18.0,104.11426872154746,101.52208941317171,,
AMZN|2026-06-30,-17.0,105.68418169866656,101.93375758408206,,
AMZN|2026-06-30,-16.0,102.45273565612509,99.23808247551632,,
